player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,梢,さやか,小铃,花帆,瑠璃乃,吟子
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,196,6113474428797055,10,10,10,10,10,10,10,10,10
T95Y9M2F4,君・街・空・星,11FB0EDDT,スクステ同好会,13,197,6105041506062272,10,10,10,10,10,10,10,10,10
A1YL665HX,dai,YCTM6RYDP,金沢おでん同好会,15,198,6103783301266167,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,199,6100771591578469,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,15,200,6097908537964161,10,10,10,10,10,10,10,10,10
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,15,201,6097142271999665,10,10,10,10,10,10,10,10,10
VLVZCU5K1,ひなつき,B5V2LNN43,WMW,15,202,6096209308346901,10,10,10,10,10,10,10,10,10
YHD181KD3,AN@,FVJFA973A,蓮ノ空愛好会,14,203,6085416605566360,10,10,10,10,10,10,10,10,10
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,204,6083583210029817,10,10,10,10,10,10,10,10,10
MY9GFUXVC,きっくー,BKLW6CR5L,Mix鮭の空!!,15,205,6058500969603856,10,10,10,10,10,10,10,10,10
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,206,6057180963818335,10,10,10,10,10,10,10,10,10
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,207,6036890208966302,10,10,10,10,10,10,10,10,10
PQHU8G8OV,ミナミ,FVJFA973A,蓮ノ空愛好会,15,208,6022273308097031,10,10,10,10,10,10,10,10,10
ZYR6MKI25,Ringo,L15B25270,蓮女マネージャー,11,209,6017709470547127,10,10,10,10,10,10,10,10,10
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,15,210,6017234478271117,10,10,10,10,10,10,10,10,10
V7YLMH2IY,蜃気楼,PBRDPWEY1,村村会,15,211,6012599364499162,10,10,10,10,10,10,10,10,10
7RKDSBKXW,あらさん,11FB0EDDT,スクステ同好会,12,212,6005999922716484,10,10,10,10,10,10,10,10,10
